"IPN","MPN","Manufacturer","Description","Resistance","Value","Symbol","Footprint","Tolerance","Datasheet","LCSC"
"RES-0000-1201","RC0603FR-071K2L","Yageo","RES 1.2K OHM 1% 1/10W 0603","1K2",1200,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22765"
"RES-0000-1501","RC0603FR-071K5L","Yageo","RES 1.5K OHM 1% 1/10W 0603","1K5",1500,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22843"
"RES-0000-1801","RC0603FR-071K8L","Yageo","RES 1.8K OHM 1% 1/10W 0603","1K8",1800,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4177"
"RES-0000-2001","RC0603FR-072KL","Yageo","RES 2K OHM 1% 1/10W 0603","2K",2000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22975"
"RES-0000-2201","RC0603FR-072K2L","Yageo","RES 2.2K OHM 1% 1/10W 0603","2K2",2200,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4190"
"RES-0000-2701","RC0603FR-072K7L","Yageo","RES 2.7K OHM 1% 1/10W 0603","2K7",2700,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C13167"
"RES-0000-3301","0603WAF3301T5E","UNI-ROYAL","RES 3.3kΩ ±1% 100mW 0603","3K3",3300,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.lcsc.com/datasheet/C22978.pdf","C22978"
"RES-0000-3601","0603WAF3601T5E","UNI-ROYAL","RES 3.6kΩ ±1% 100mW 0603","3K6",3600,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.lcsc.com/datasheet/C22980.pdf","C22980"
"RES-0000-3901","RC0603FR-133K9L","Yageo","RES 3.9K OHM 1% 1/10W 0603","3K9",3900,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23018"
"RES-0000-4701","RC0603FR-074K7L","Yageo","RES 4.7K OHM 1% 1/10W 0603","4K7",4700,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23162"
"RES-0000-5601","RC0603FR-075K6L","Yageo","RES 5.6K OHM 1% 1/10W 0603","5K6",5600,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23189"
"RES-0000-6201","RC0603FR-076K2L","Yageo","RES 6.2K OHM 1% 1/10W 0603","6K2",6200,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4260"
"RES-0000-8201","RC0603FR-078K2L","Yageo","RES 8.2K OHM 1% 1/10W 0603","8K2",8200,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25981"
"RES-0000-1002","RC0603FR-0710KL","Yageo","RES 10K OHM 1% 1/10W 0603","10K",10000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25804"
"RES-0000-1202","RC0603FR-0712KL","Yageo","RES 12K OHM 1% 1/10W 0603","12K",12000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22790"
"RES-0000-1302","RC0603FR-0713KL","Yageo","RES 13K OHM 1% 1/10W 0603","13K",13000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22797"
"RES-0000-1502","RC0603FR-0715KL","Yageo","RES 15K OHM 1% 1/10W 0603","15K",15000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22809"
"RES-0000-1802","RC0603FR-0718KL","Yageo","RES 18K OHM 1% 1/10W 0603","18K",18000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25810"
"RES-0000-2002","RC0603FR-0720KL","Yageo","RES 20K OHM 1% 1/10W 0603","20K",20000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4184"
"RES-0000-2202","RC0603FR-0722KL","Yageo","RES 22K OHM 1% 1/10W 0603","22K",22000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C31850"
"RES-0000-3002","RC0603FR-0730KL","Yageo","RES 30K OHM 1% 1/10W 0603","30K",30000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22984"
"RES-0000-3302","RC0603FR-0733KL","Yageo","RES 33K OHM 1% 1/10W 0603","33K",33000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C4216"
"RES-0000-3902","0603WAF3902T5E","UNI-ROYAL","RES 39kΩ ±1% 100mW 0603","39K",39000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.lcsc.com/datasheet/C23153.pdf","C23153"
"RES-0000-4702","RC0603FR-0747KL","Yageo","RES 47K OHM 1% 1/10W 0603","47K",47000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25819"
"RES-0000-6202","RC0603FR-1362KL","Yageo","RES 62K OHM 1% 1/10W 0603","62K",62000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23221"
"RES-0000-1003","RC0603FR-07100KL","Yageo","RES 100K OHM 1% 1/10W 0603","100K",100000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C25803"
"RES-0000-1503","0603WAF1503T5E","UNI-ROYAL","RES 150kΩ ±1% 100mW 0603","150K",1.50E+05,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.lcsc.com/datasheet/C22807.pdf","C22807"
"RES-0000-4703","RC0603FR-07470KL","Yageo","RES 470K OHM 1% 1/10W 0603","470K",470000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C23178"
"RES-0000-1004","RC0603FR-071ML","Yageo","RES 1M OHM 1% 1/10W 0603","1M",1000000,"g-pas:R_US","g-res:R_0603_1608Metric","1%","https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","C22935"
